	cls	score	score_best
528	-1	0.00017669920648367447	0.00017669920648367447
531	-1	0.00017660970666549708	0.00017660970666549708
t32	-1	0.00017653502516349782	0.00017653502516349782
supports	-1	0.0001765295326718237	0.0001765295326718237
t31	-1	0.00017628451125301802	0.00017628451125301802
surge	-1	0.00017546824990957694	0.00017546824990957694
adam	-1	0.00017540392234812176	0.00017540392234812176
sythour	-1	0.00017524202245242852	0.00017524202245242852
suction	-1	0.00017500494460210805	0.00017500494460210805
sucking	-1	0.00017500494460210805	0.00017500494460210805
t105	-1	0.00017500494460210805	0.00017500494460210805
50x	-1	0.00017498299726812242	0.00017498299726812242
tabledown	-1	0.00017491047271162754	0.00017491047271162754
sytem	-1	0.00017473299024386754	0.00017473299024386754
510	-1	0.00017447271705289257	0.00017447271705289257
56	-1	0.00017430556980723872	0.00017430556980723872
436	-1	0.00017430552999479803	0.00017430552999479803
subsequent	-1	0.0001740533254170855	0.0001740533254170855
subsequently	-1	0.00017402416123917834	0.00017402416123917834
55	-1	0.0001739951944777225	0.0001739951944777225
511	-1	0.00017394493170577366	0.00017394493170577366
success	-1	0.00017381677321105855	0.00017381677321105855
swisset	-1	0.00017335557993691447	0.00017335557993691447
t97	-1	0.00017325239265243513	0.00017325239265243513
successfully	-1	0.00017297581086578377	0.00017297581086578377
sucked	-1	0.00017294376083945502	0.00017294376083945502
445	-1	0.0001726260058096734	0.0001726260058096734
swing	-1	0.0001725780039836938	0.0001725780039836938
517	-1	0.00017232323167271885	0.00017232323167271885
swapping	-1	0.00017222559976771891	0.00017222559976771891
4th	-1	0.000171362143635815	0.000171362143635815
45a	-1	0.00017120380835404937	0.00017120380835404937
snsor	-1	0.0001710343576066137	0.0001710343576066137
straddle	-1	0.0001710166447094965	0.0001710166447094965
specers	-1	0.00017038978421505198	0.00017038978421505198
95	-1	0.00016992159177084884	0.00016992159177084884
speeds	-1	0.00016988128283152028	0.00016988128283152028
speedwas	-1	0.00016973614621226265	0.00016973614621226265
spent	-1	0.00016970134618402274	0.00016970134618402274
spewing	-1	0.00016968099578845873	0.00016968099578845873
spider	-1	0.00016934865012178645	0.00016934865012178645
spiking	-1	0.0001688486844413565	0.0001688486844413565
spilled	-1	0.0001688486844413565	0.0001688486844413565
94	-1	0.00016860100817042532	0.00016860100817042532
spin	-1	0.00016854006051473025	0.00016854006051473025
929	-1	0.00016841622469199787	0.00016841622469199787
spindlemotor	-1	0.00016821444455110727	0.00016821444455110727
92	-1	0.00016804555379613956	0.00016804555379613956
spins	-1	0.00016737433050343438	0.00016737433050343438
917	-1	0.00016722541594345005	0.00016722541594345005
915	-1	0.00016701949270263514	0.00016701949270263514
split	-1	0.0001670064109005521	0.0001670064109005521
910	-1	0.00016637592210253766	0.00016637592210253766
900	-1	0.00016637086971612593	0.00016637086971612593
spools	-1	0.00016599889089658374	0.00016599889089658374
sporadically	-1	0.00016562335497960018	0.00016562335497960018
3x655g	-1	0.0001655072083786613	0.0001655072083786613
slugs	-1	0.00016522121330211957	0.00016522121330211957
8mm	-1	0.00016511727713089668	0.00016511727713089668
8a	-1	0.00016506194497353127	0.00016506194497353127
921	-1	0.00016495542921297543	0.00016495542921297543
a12	-1	0.00016495542921297543	0.00016495542921297543
